id	name
0	Brockbank, A.,
1	Morata, López, N., & Cols
2	Font, C.M., Mir, E.B., Badia, M.C.
3	Devoe, P. H.
4	Núñez, J. C., Solano, P., Antonio, J., & Pedro, G.
5	Kane, J. W., & Sternheim, M. M.
6	López, N., & y Cols.
7	Aurengo, A., & Petitclerc, T.
8	Bushong, S.
9	Cromer, A.
10	Davidovits, P.
11	Frumento, A.
12	Galle, P., & Paulin, R.
13	Jou Mirabent, D.
14	Mohammed, A. M.
15	Chang, Raymond; Goldsby, Ken
16	Bailey, P. S., & Bailey, C. A.
17	McMurry, J.
18	Santamaría, F.
19	Petrucci, R. H., Harwood, W. S., Herring, F. G., & Pardo, C.
20	Mahan, B. H., de Banchero, G. Y., & de Herold, L. P. E.
21	Morrison, R. T., & Boyd, R. N.
22	Sandler. TW.
23	Moore et al.
24	Moore y Dalley.
25	Schünke et al.
26	Drake et al.
27	Federative Committe on Anatomical Terminology.
28	Guzmán, L. et al.
29	Pró E.
30	Rouvière & Delmas.
31	Anne M. Gilroy et al.
32	Frank H. Netter
33	Paulsen y Waschke
34	Platzer W.
35	Rohen et al.
36	Ryan et al.
37	Weber et al.
38	Weir y Abrahams
39	Alberts et al.
40	Chandar & Viselli.
41	Alberts et al.
42	Berg et al.
43	Alfonso Calvo
44	Cooper & Hausman.
45	Cox et al.
46	Gersen & Keagle.
47	Jorde et al.
48	Lodish et al.
49	Nelson & Cox
50	Nussbaum et al.
51	Pierce, BA.
52	Pritchard & Korf
53	Salazar Montes et al.
54	Solari y Roubicek
55	Watson et al.
56	Hoffmann, L., Bradley, G., & Rosen, K.
57	González Rosales, A.
58	Larson, RE. Hostetler, RP. Edwars, BH
59	Spivak, M
60	Swokowski E. Cole J.
61	Sánchez González, MA.
62	Alder et al.
63	Cruz-Coke Madrid R.
64	Illanes MA.
65	Illich, I.
66	Jünger, E.
67	Laín Entralgo, P.
68	López Piñero & Terrada
69	Porter, R.
70	Riera J.
71	Hall, J. E.
72	West. J. B.
73	Eaton, D. C., & Pooler, J.P.
74	Barrett, K. E.
75	Constanzo, L .S.
76	Courneya, C. A. M., & Parker, M. J.
77	Levitzky, M. G.
78	Danziger, J., Zeidel, M., & Parker, M. J.
79	Lodish, H.
80	Nelson & Cox
81	Voet, D. L.
82	Berg, J. M., Tymoczko, J. L., & Stryer, L.
83	Murray, R. K., Bender, D. A. Botham, K. M., Kennelly, P. J.
84	Jorde, L. B., Carey, J. C., & Bamshad, M. J.
85	Pierce, B. A.
86	Pritchard, D., J., & Korf, B. R.
87	Watson, J. D.
88	Moore, K.L., Dalley
89	Schünke et al.
90	Drake et al.
91	Federative Committe on Anatomical Terminology
92	Guzman, L. et al.
93	Moore et al.
94	Pró
95	Cibanal J. et al.
96	Ruiz M.
97	Balzey-R.
98	Cleries X.
99	Cole & Bird
100	Fortin et al.
101	Gelabert A.
102	Glendinning & Holmstrom
103	Kurtz et al.
104	McCorry & Mason
105	Merayo P. et al.
106	Molinuevo A.
107	Novack, D.
108	Watzawick P.
109	Cunningham G., Redston
110	Maris A., Soars L.
111	Marks J.
112	Murphy R.
113	Alexander, L.G.
114	Murphy J.
115	Freer J.
116	Jamieson et. Al
117	Argente y Alvarez
118	Barr D.
119	Bickley, L.S.
120	Cardellach et al.
121	Cibanal J. et al.
122	Cleries X.
123	Cole & Bird
124	Douglas et al.
125	Fortin et al.
126	Goic et al.
127	Jandial & Jandial
128	Merayo P. et al.
129	Valtueña, JMP
130	Smeltzer et al.
131	Sommers F.
